SOURCE,PATH,PURPOSE,CURRENT_CANONICAL_EQUIVALENT,UNIQUE_VALUE,RUNTIME_RELEVANCE,PROVENANCE_RELEVANCE,DECISION,EVIDENCE,SHA256
LEGACY_REVIEW,20260814-221919\supplier_report.json,"Evidence, inventory, or historical decision context",archive\generated-reports\2026-08-05\supplier_report.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,acf02acc25da6508ca5ffac19a795c665be747c220b3fc1f89162ac1e198cae0
LEGACY_REVIEW,20260814-221919\supplier_report_v2.json,"Evidence, inventory, or historical decision context",archive\generated-reports\2026-08-05\supplier_report_v3.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,7bd3dfeacbfed7b29639a07c3613dee29c9d23f7fb10d90acf8ffe6874e4b14e
LEGACY_REVIEW,20260814-221919\supplier_report_v3.json,"Evidence, inventory, or historical decision context",archive\generated-reports\2026-08-05\supplier_report_v3.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,7bd3dfeacbfed7b29639a07c3613dee29c9d23f7fb10d90acf8ffe6874e4b14e
LEGACY_REVIEW,20260814-221919\supplier_report_v4.json,"Evidence, inventory, or historical decision context",archive\generated-reports\2026-08-05\suppliers_confirm.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,e7390189baf6db607c92aa318dc6b7913b102cb95028e6c99062f326e43f29b8
LEGACY_REVIEW,20260814-221919\system_manifest.json,"Evidence, inventory, or historical decision context",system_manifest.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,f970f518574a09401ad9b1f83c4d858cd7ef1f3a3a6414c20d0638d381929ee4
LEGACY_REVIEW,20260814-221919\test_brain.py,Cognitive/brain capability,test_brain.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,8c566cf6efe5974cf4deefef9adacc3267371923ae848633f903b760e16153b4
LEGACY_REVIEW,20260814-221919\test_brain_v2.py,Cognitive/brain capability,test_brain_v2.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,cb51bf8c83853fe3c10f626c2af89da9806193d9392a9b6d88e9c142209b82bf
LEGACY_REVIEW,20260814-221919\test_brain_v3.py,Cognitive/brain capability,test_brain_v3.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,913d515d9784d395d395cb679ca99c825d1c457c2bb1a49fefb85363f87b9d68
LEGACY_REVIEW,20260814-221919\tsconfig.json,Structured state/data/report material,tsconfig.json,NONE,ACTIVE_EQUIVALENT,NORMAL,MERGED,Same-role canonical path exists; code symbols/critical brain and Intelligence surfaces independently checked where executable.,6c49ad766d1200f4770c4a21db375a42d5c62375825c1d6249061212681bfa40
LEGACY_REVIEW,20260814-221919\tsconfig.runtime.json,Structured state/data/report material,"Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,5b6d83408d1d6b5ad17498ff85d0299245262e7611bdd1e7468bd67be6a01f77
LEGACY_REVIEW,20260814-221919\validation_report.json,"Evidence, inventory, or historical decision context",archive\generated-reports\2026-08-05\validation_report.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,aed8245f648c8954db735404d27de3c5569a9add655ce10cf1ad89f148d7c719
LEGACY_REVIEW,20260814-221919\validation_report_v2.json,"Evidence, inventory, or historical decision context",archive\generated-reports\2026-08-05\validation_report_v2.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,6833763e88b38717e638b40fed12be2182ed5b1c80b7f49ea05dbaea8669bbbe
LEGACY_REVIEW,20260814-221919\validation_report_v3.json,"Evidence, inventory, or historical decision context",archive\generated-reports\2026-08-05\validation_report_v3.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,ec1ee38b2e498f70066f3921dcaf4749b7d0851256a4aff9e62853d9fa327ef2
LEGACY_REVIEW,20260814-221919\validation_report_v4.json,"Evidence, inventory, or historical decision context",archive\generated-reports\2026-08-05\validation_report_v4.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,b8ad1defe07a0a01be5c7780e1be3654edcff2ce6eb6445a347911d006b637aa
LEGACY_REVIEW,20260814-221919\.vscode\settings.json,Structured state/data/report material,"Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,cf68334183a28097d97b2c47c3cfd36d2ffe32b01a243075aaba875c6211cd90
LEGACY_REVIEW,20260814-221919\AI-CONTINUATION-CONTEXT\AGENT-CORE.md,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,88dc84cae68081c059acce9bb4b3c20ea690b70dc94a408919630579c17115e0
LEGACY_REVIEW,20260814-221919\AI-CONTINUATION-CONTEXT\CURRENT-STATE.md,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,bdd8fe6edf0b691d145d3eaface78b0a5a5651c65e6c23dc09840b1c5fd1204d
LEGACY_REVIEW,20260814-221919\AI-CONTINUATION-CONTEXT\DECISIONS.md,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,e0454f7559fef6098955a322d73140359129d582f5b160bbec3ce17b7f5dce7e
LEGACY_REVIEW,20260814-221919\AI-CONTINUATION-CONTEXT\E3-EXECUTION-TRUTH.md,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,a3ada5a9913c9ff34a6baecefcf5ca09583b5c09ab5868b57c820de8ea0801cd
LEGACY_REVIEW,20260814-221919\AI-CONTINUATION-CONTEXT\HANDOFF.md,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,3703e4f4cb08b90bd96a20c171ebbdcbd64c659d2dc1022d90c59fc656ebaba4
LEGACY_REVIEW,20260814-221919\AI-CONTINUATION-CONTEXT\README.md,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,86195b2f877a0feaab73dae2048d3c68ef8ea2c73be57cda4c11e275d611705b
LEGACY_REVIEW,20260814-221919\canonical\classification_report_v2.json,"Evidence, inventory, or historical decision context",canonical\classification_report_v2.json|archive\derived-report-preservation\2026-08-13_192255\canonical\classification_report_v2.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,71aba269be1b344e2af532597e67891e81dd7acb2fb0c05713bf23f93318ea25
LEGACY_REVIEW,20260814-221919\canonical\cleanup_report.json,"Evidence, inventory, or historical decision context",canonical\cleanup_report.json|archive\derived-report-preservation\2026-08-13_192255\canonical\cleanup_report.json|canonical\intelligence\cleanup_report.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,30d5766039b0cf36e0c898487388207f4df1c8216a21a829800396a98c8bbb67
LEGACY_REVIEW,20260814-221919\canonical\final_audit.json,"Evidence, inventory, or historical decision context",canonical\final_audit.json|archive\derived-report-preservation\2026-08-13_192255\canonical\final_audit.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,a232bce1adbd40309940d1f753a53bbbd93dd39d7780e20e792efc62b274a778
LEGACY_REVIEW,20260814-221919\canonical\fix_brain.py,Cognitive/brain capability,canonical\fix_brain.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,e9d4a6bce818b46ce1b18fce41e823e26f44b9669be0a89aaeee9a42a607052c
LEGACY_REVIEW,20260814-221919\canonical\fix_indent.py,Historical installation/migration procedure,canonical\fix_indent.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,721225333d7d73e1b39785efca8b5192b59dc3100c38a30a84bb192166a1d1e9
LEGACY_REVIEW,20260814-221919\canonical\run_all.ps1,Historical installation/migration procedure,canonical\run_all.ps1,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,46c7a9f06e3f97b31b0a5b22957d2b4697887ade324e17219ce523c85d300d59
LEGACY_REVIEW,20260814-221919\canonical\system_manifest.json,"Evidence, inventory, or historical decision context",canonical/system_manifest.json,NONE,ACTIVE_EQUIVALENT,NORMAL,MERGED,Same-role canonical path exists; code symbols/critical brain and Intelligence surfaces independently checked where executable.,74df0b64e0ef8c6181d20629045f29ddd124318a93e2ffa97781a91445298521
LEGACY_REVIEW,20260814-221919\docs\GOVERN_STOP.md,Documentation/configuration/reference,docs\GOVERN_STOP.md,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,968239087cc11c4d7556523b472fa5c49929ece0e9663c7b3e72aa912f1e622d
LEGACY_REVIEW,20260814-221919\docs\INDEX.md,Documentation/configuration/reference,docs\INDEX.md,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,c023ca7c00253a9496207127f1491512f89fae60291103d61340df89af741419
LEGACY_REVIEW,20260814-221919\E3-FINAL-AUDIT\00-E3-FINAL-AUDIT-SUMMARY.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,6df2eab28318036f80148821abdba19c721a9f2bb61004839a938b519837a33a
LEGACY_REVIEW,20260814-221919\E3-FINAL-AUDIT\01-FILE-INVENTORY.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,e05aa108e6da9d9a89bcc3e7f9f4af42858b5fab80dcf2c5db64d90fd680e40c
LEGACY_REVIEW,20260814-221919\E3-FINAL-AUDIT\02-DOMAIN-DISCOVERY.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,a1fe9bffdb353cfe5553a4a3983ef046d01114dbe41a6f72346b31e476aeb1eb
LEGACY_REVIEW,20260814-221919\E3-FINAL-AUDIT\03-ENGINE-CANDIDATES.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,3ad1b80a42e013bf6b55ae0001572e6424ef23ef1b97ef14086d0d2580a68333
LEGACY_REVIEW,20260814-221919\E3-FINAL-AUDIT\04-ENGINE-ANALYSIS.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,6c5050ec7ef419a7c8f513b90f935052fd2c00e4babc9c4ca50bdbcd0e59f3d9
LEGACY_REVIEW,20260814-221919\E3-FINAL-AUDIT\05-API-ROUTES.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,b1fe48b2a64920079477bf9b9685b8fe5a0d5e497fbab4cdf44c266e7d6c941b
LEGACY_REVIEW,20260814-221919\E3-FINAL-AUDIT\06-DATABASE-EVIDENCE.json,"Evidence, inventory, or historical decision context",greenlines_brain/evidence.py + RAIOS/V9/evidence,Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,000a9eb7e93014dddc8711d58d20939387c8fd3531ed16e7bf0065f712cdc350
LEGACY_REVIEW,20260814-221919\E3-FINAL-AUDIT\08-BRAIN-LEARNING-AUDIT.json,Cognitive/brain capability,"Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,036e328493fee48630f1e4330c8bbbe746435af9cee231371584b845d19ebd69
LEGACY_REVIEW,20260814-221919\E3-FINAL-AUDIT\09-HISTORICAL-REPORT-PHASE-MAP.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,41a985c689c6d4a10480a1adcc55471300f732e5350b6ccb582abd9c159b4fa6
LEGACY_REVIEW,20260814-221919\E3-FINAL-AUDIT\10-EXACT-DUPLICATES.json,"Evidence, inventory, or historical decision context",RAIOS/V9/autonomic/self_inspection/duplicate_census.py,Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,7c0bddd98b06d03256433a8c9a937777d93c9642bfd66f9449b2d083d6e51374
LEGACY_REVIEW,20260814-221919\E3-FINAL-AUDIT\11-CAPABILITY-EVIDENCE-MATRIX.json,"Evidence, inventory, or historical decision context",greenlines_brain/evidence.py + RAIOS/V9/evidence,Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,9508d6034d8f63baf1b799e48455fe33138568013925058f982e027c762ea4ea
LEGACY_REVIEW,20260814-221919\E3-FINAL-AUDIT\12-REUSE-INTELLIGENCE.json,Intelligence/governance capability,"Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,4ddae9a0cc1bbb93d35f4bd0c2589c3fced7d12b63a5365f508e33f4b97ad551
LEGACY_REVIEW,20260814-221919\E3-RECON-OUTPUT\E3-BOOTSTRAP-SUMMARY.json,Structured state/data/report material,E3-RECON-OUTPUT\E3-BOOTSTRAP-SUMMARY.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,c231669fbbc50b14cfdad1fe6e127d49a54b0b7beff8f510caac47f12b894809
LEGACY_REVIEW,20260814-221919\E3-RECON-OUTPUT\E3-DEEP-FILE-TRACE.json,Structured state/data/report material,E3-RECON-OUTPUT\E3-DEEP-FILE-TRACE.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,10e5d4d425569eb57108d80e30e34e068105d6a58bc11b1348714d85a4882108
LEGACY_REVIEW,20260814-221919\E3-RECON-OUTPUT\E3-DEEP-TRACE-SUMMARY.json,Structured state/data/report material,E3-RECON-OUTPUT\E3-DEEP-TRACE-SUMMARY.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,2cbf981b0ec32c5ddc617b1ac06c5404b800e0a628e9ca867e2b24eaa143d553
LEGACY_REVIEW,20260814-221919\E3-RECON-OUTPUT\E3-DOMAIN-SIGNAL-MAP.json,Structured state/data/report material,E3-RECON-OUTPUT\E3-DOMAIN-SIGNAL-MAP.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,2b158355a62f2e3571953647dda5e4c8bafbcf1e8a7bf5cfa08cbcb5f74f9879
LEGACY_REVIEW,20260814-221919\E3-RECON-OUTPUT\E3-ENGINE-CANDIDATES-DEEP.json,Structured state/data/report material,E3-RECON-OUTPUT\E3-ENGINE-CANDIDATES-DEEP.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,3cef452d3c0fca8a8758624c346369d04bd71f9e23e22aefc7b2952914232b09
LEGACY_REVIEW,20260814-221919\E3-RECON-OUTPUT\E3-ENGINE-CANDIDATES.json,Structured state/data/report material,E3-RECON-OUTPUT\E3-ENGINE-CANDIDATES.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,d9a59ab8cd529440c4bf5e8c404510e556719c56e55fc91d6a3c9ce6c8dd0203
LEGACY_REVIEW,20260814-221919\E3-RECON-OUTPUT\E3-EXTENSION-SUMMARY.json,Structured state/data/report material,E3-RECON-OUTPUT\E3-EXTENSION-SUMMARY.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,36fdda32118e9dac84f065b3f9187ebbb62b3220c48609402b6c2f5484477664
LEGACY_REVIEW,20260814-221919\E3-RECON-OUTPUT\E3-FILE-INVENTORY.json,Structured state/data/report material,E3-RECON-OUTPUT\E3-FILE-INVENTORY.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,d771508c4b26e6d07a816a12e9d534b9e2a1636cca1bcd498522159bce6e6f27
LEGACY_REVIEW,20260814-221919\E3-RECON-OUTPUT\E3-GENERATION-SIGNALS.json,Structured state/data/report material,E3-RECON-OUTPUT\E3-GENERATION-SIGNALS.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,740ac63425436b3c0e0cd7d766d8dd9461449cc1fc8a1e72f8339077763c1607
LEGACY_REVIEW,20260814-221919\E3-RECON-OUTPUT\E3-PHASE-SUMMARY.json,Structured state/data/report material,E3-RECON-OUTPUT\E3-PHASE-SUMMARY.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,73c711d1b6423824a7a9f3bbb7eff26d4c8cf0d03b2496d06a4f8cab3c39073f
LEGACY_REVIEW,20260814-221919\E3-RECON-OUTPUT\E3-RUNTIME-CANDIDATES.json,Structured state/data/report material,E3-RECON-OUTPUT\E3-RUNTIME-CANDIDATES.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,f16f9d67e8790d23dc5cdffde7a72628b190083a367fe8e69da4ada4c4033803
LEGACY_REVIEW,20260814-221919\E3-SOURCE-TRACE-PACKAGE\API__app__api__products__route.ts.txt,Documentation/configuration/reference,E3-SOURCE-TRACE-PACKAGE\API__app__api__products__route.ts.txt|.ai-os\reports\kaggle-canon-01\canonical\RAIOS-CANONICAL-ESTATE\sources\collection-for-understand\E3-SOURCE-TRACE-PACKAGE\API__app__api__products__route.ts.txt,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,d183606daaa138981e8dc8e67658f9222e748115ba487caeebea87f7262a05b4
LEGACY_REVIEW,20260814-221919\E3-SOURCE-TRACE-PACKAGE\API__app__api__sales-orders__route.ts.txt,Documentation/configuration/reference,E3-SOURCE-TRACE-PACKAGE\API__app__api__sales-orders__route.ts.txt|.ai-os\reports\kaggle-canon-01\canonical\RAIOS-CANONICAL-ESTATE\sources\collection-for-understand\E3-SOURCE-TRACE-PACKAGE\API__app__api__sales-orders__route.ts.txt,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,9f7edadc860b99ab8d7af45750b88d295158f1d4e487a819c376f7f485fe56d1
LEGACY_REVIEW,20260814-221919\E3-SOURCE-TRACE-PACKAGE\API__app__api__suppliers__route.ts.txt,Documentation/configuration/reference,E3-SOURCE-TRACE-PACKAGE\API__app__api__suppliers__route.ts.txt|.ai-os\reports\kaggle-canon-01\canonical\RAIOS-CANONICAL-ESTATE\sources\collection-for-understand\E3-SOURCE-TRACE-PACKAGE\API__app__api__suppliers__route.ts.txt,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,dc0e9bc8f63a05b480385164b78c26f57d7e786256bb6631265ccd48e09fb8c8
LEGACY_REVIEW,20260814-221919\E3-SOURCE-TRACE-PACKAGE\API__app__api__workflow__route.ts.txt,Documentation/configuration/reference,E3-SOURCE-TRACE-PACKAGE\API__app__api__workflow__route.ts.txt|.ai-os\reports\kaggle-canon-01\canonical\RAIOS-CANONICAL-ESTATE\sources\collection-for-understand\E3-SOURCE-TRACE-PACKAGE\API__app__api__workflow__route.ts.txt,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,cc67280b05adaaf969bd2a8585ddd018b6e7eb5f2ef876edcbd28eb1267d3c11
LEGACY_REVIEW,20260814-221919\E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__data__customer-domain__customers.json.txt,Documentation/configuration/reference,E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__data__customer-domain__customers.json.txt|.ai-os\reports\kaggle-canon-01\canonical\RAIOS-CANONICAL-ESTATE\sources\collection-for-understand\E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__data__customer-domain__customers.json.txt,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,a591a657b66276cee5818daf737fa01b53ed075f8495af2ef274c64c766e7d95
LEGACY_REVIEW,20260814-221919\E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__data__master_products.json.txt,Documentation/configuration/reference,E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__data__master_products.json.txt|.ai-os\reports\kaggle-canon-01\canonical\RAIOS-CANONICAL-ESTATE\sources\collection-for-understand\E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__data__master_products.json.txt,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,158be658184deeca38fc15c8032aaf8f8285405da41770638b6e1074a5887361
LEGACY_REVIEW,20260814-221919\E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__data__suppliers.json.txt,Documentation/configuration/reference,E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__data__suppliers.json.txt|.ai-os\reports\kaggle-canon-01\canonical\RAIOS-CANONICAL-ESTATE\sources\collection-for-understand\E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__data__suppliers.json.txt,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,60407924e3f5ce1615445c13b1257bb935e8bcb557c65e00cc4f92560019c69f
LEGACY_REVIEW,20260814-221919\E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__docs__architecture__eos_architecture__01.Master_Data__honey_reference.json.txt,Documentation/configuration/reference,E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__docs__architecture__eos_architecture__01.Master_Data__honey_reference.json.txt,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,9ea799ce8a6ebae5308eb5a51e6d77c6b6f8dac79c3ea7497204a1a654963af0
LEGACY_REVIEW,20260814-221919\E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__docs__architecture__SYSTEM_ARCHITECTURE.md.txt,Documentation/configuration/reference,E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__docs__architecture__SYSTEM_ARCHITECTURE.md.txt|.ai-os\reports\kaggle-canon-01\canonical\RAIOS-CANONICAL-ESTATE\sources\collection-for-understand\E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__docs__architecture__SYSTEM_ARCHITECTURE.md.txt,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,151a10a9018a0a165f0b9a615b10b536f169b5b67f09c323224687c76edcb11d
LEGACY_REVIEW,20260814-221919\E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__docs__products__PRODUCT_MASTER.md.txt,Documentation/configuration/reference,E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__docs__products__PRODUCT_MASTER.md.txt,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,b0dec364446488ba13367f6e92746cf1dcc42c6dbc5ba0b32468f214e84bf0b5
LEGACY_REVIEW,20260814-221919\E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__intelligence__architecture.manifest.json.txt,Intelligence/governance capability,E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__intelligence__architecture.manifest.json.txt,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,1aefd75b0413515517808af0d28b8a7993ff5bc212cdd1dd0296532ecfd10c15
LEGACY_REVIEW,20260814-221919\E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__intelligence__eos-domain-activation-blueprint-v1.json.txt,Intelligence/governance capability,E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__intelligence__eos-domain-activation-blueprint-v1.json.txt,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,4943f73c0480196e4de2583e6ec10a0dbe8eb6a6175f7a004cdfe1d35abc74ec
LEGACY_REVIEW,20260814-221919\E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__intelligence__eos-enterprise-architecture-final.json.txt,Intelligence/governance capability,E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__intelligence__eos-enterprise-architecture-final.json.txt,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,c9d7b985acd83d3b2c7b4397ef7cc2e6a07df7db1be517b5674d6a8b6b872b29
LEGACY_REVIEW,20260814-221919\E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__intelligence__eos-execution-truth-map.json.txt,Intelligence/governance capability,E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__intelligence__eos-execution-truth-map.json.txt,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,c0f9a94e75ad34376de36e50ba065839c8936ac368b17904c3636f418549351e
LEGACY_REVIEW,20260814-221919\E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__intelligence__eos-gels-architecture-alignment.json.txt,Intelligence/governance capability,E3-SOURCE-TRACE-PACKAGE\CANONICAL__canonical__intelligence__eos-gels-architecture-alignment.json.txt,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,6026e54739f88c69375e6130f55dc7466d069bad96d2e9f3b778d3589420431f
